datetime,open,high,low,close,volume
2025-04-01,18.97,19.12,18.745,19.01,985500
2025-03-31,18.92,19.14,18.73,19.0,1031700
2025-03-28,18.96,18.99,18.61,18.9,529300
2025-03-27,19.12,19.265,18.86,18.87,768900
2025-03-26,18.97,19.17,18.9,19.05,356500
2025-03-25,19.07,19.25,18.81,18.99,1244300
2025-03-24,18.83,19.12,18.8,19.12,701300
2025-03-21,18.61,18.76,18.145,18.67,1734800
2025-03-20,18.65,18.88,18.61,18.76,499400
2025-03-19,18.7,18.87,18.56,18.75,644500
2025-03-18,18.6,18.955,18.58,18.75,1263200
2025-03-17,18.47,18.74,18.47,18.65,649900
2025-03-14,18.41,18.485,17.995,18.45,1405300
2025-03-13,19.0,19.02,18.27,18.34,830000
2025-03-12,19.18,19.21,18.72,18.85,1235900
2025-03-11,19.73,19.8,18.98,19.09,1584200
2025-03-10,19.82,20.03,19.48,19.62,1007600
2025-03-07,20.0,20.25,19.815,19.95,1335900
2025-03-06,20.14,20.245,19.885,20.05,851300
2025-03-05,20.01,20.42,20.01,20.38,834800
2025-03-04,20.56,20.63,20.15,20.15,765900
2025-03-03,20.58,20.791,20.48,20.57,626300
2025-02-28,20.49,20.625,20.35,20.6,1224800
2025-02-27,20.51,20.648,20.23,20.32,752900
2025-02-26,20.51,20.63,20.38,20.56,602000
2025-02-25,20.37,20.81,20.25,20.6,847200
2025-02-24,20.11,20.51,20.06,20.33,632600
2025-02-21,20.34,20.42,19.89,20.05,749800
2025-02-20,20.14,20.285,20.04,20.15,916100
2025-02-19,20.24,20.51,20.18,20.25,901000
2025-02-18,20.63,20.755,20.42,20.42,1030700
2025-02-14,21.65,21.73,20.66,20.74,1201800
2025-02-13,20.86,21.65,20.86,21.61,957000
2025-02-12,20.27,21.49,19.71,21.19,1192500
2025-02-11,20.32,20.77,20.32,20.75,1076300
2025-02-10,20.78,20.78,20.31,20.45,621400
2025-02-07,20.43,20.8,20.335,20.7,719300
2025-02-06,20.46,20.46,20.16,20.45,513600
2025-02-05,20.07,20.45,19.96,20.34,514100
2025-02-04,20.0,20.09,19.83,19.93,472200
2025-02-03,20.19,20.25,19.84,20.12,518000
2025-01-31,20.45,20.63,20.235,20.34,662200
2025-01-30,20.61,20.63,20.23,20.56,1257400
2025-01-29,20.52,20.645,20.21,20.34,661200
2025-01-28,20.81,21.07,20.595,20.61,557500
2025-01-27,20.33,20.935,20.33,20.91,525500
2025-01-24,19.92,20.305,19.92,20.26,356300
2025-01-23,19.8,20.05,19.62,20.05,459900
2025-01-22,20.16,20.2,19.78,19.83,726000
2025-01-21,20.25,20.45,20.2,20.31,386800
2025-01-17,20.49,20.56,20.085,20.19,832900
2025-01-16,20.05,20.43,20.02,20.32,660100
2025-01-15,20.38,20.38,19.98,20.03,1126400
2025-01-14,19.83,20.0,19.645,19.88,1347800
2025-01-13,19.65,19.84,19.55,19.8,786000
2025-01-10,19.91,20.05,19.63,19.65,1378600
2025-01-08,20.31,20.43,20.2,20.33,859800
2025-01-07,20.8,20.95,20.265,20.34,1505800
2025-01-06,21.21,21.31,20.8,20.8,1030800
2025-01-03,21.32,21.4,21.25,21.37,823300
2025-01-02,21.47,21.505,21.12,21.23,589200
2024-12-31,21.47,21.585,21.31,21.5,651500
2024-12-30,21.34,21.41,21.085,21.3,548000
2024-12-27,21.43,21.59,21.27,21.37,504600
2024-12-26,21.53,21.63,21.44,21.6,533800
2024-12-24,21.35,21.615,21.31,21.59,307200
2024-12-23,21.43,21.59,21.31,21.48,638600
2024-12-20,21.28,21.91,21.28,21.57,2531200
2024-12-19,21.4,21.68,21.28,21.28,1062900
2024-12-18,22.3,22.52,21.37,21.39,882500
2024-12-17,22.53,22.75,22.26,22.28,790500
2024-12-16,22.4,22.84,22.2,22.67,967900
2024-12-13,22.2,22.34,22.03,22.33,1237900
2024-12-12,22.36,22.63,22.36,22.46,580200
2024-12-11,22.54,22.66,22.33,22.43,1225600
2024-12-10,22.63,22.63,22.28,22.5,833000
2024-12-09,22.9,22.96,22.58,22.63,716800
2024-12-06,22.93,22.93,22.71,22.79,592100
2024-12-05,22.71,22.82,22.435,22.75,706800
2024-12-04,22.75,22.925,22.725,22.81,767100
2024-12-03,22.69,22.78,22.52,22.74,1817400
2024-12-02,23.01,23.05,22.49,22.61,1123300
2024-11-29,23.46,23.55,23.0,23.01,587000
2024-11-27,23.43,23.6,23.255,23.31,770900
2024-11-26,23.06,23.3,22.9,23.26,2618200
2024-11-25,23.07,23.23,23.01,23.13,1056300
2024-11-22,23.06,23.1,22.87,22.95,1164700
2024-11-21,23.0,23.085,22.87,22.95,1008000
2024-11-20,23.39,23.47,22.915,22.99,930900
2024-11-19,22.9,23.51,22.9,23.47,619400
2024-11-18,22.93,23.27,22.75,23.06,461800
2024-11-15,23.14,23.395,22.93,22.95,1025300
2024-11-14,23.04,23.135,22.845,23.0,600400
2024-11-13,23.46,23.57,22.94,23.07,890600
2024-11-12,23.64,23.749,23.28,23.32,660400
2024-11-11,23.53,23.85,23.49,23.6,1014200
2024-11-08,23.26,23.645,23.18,23.49,862500
2024-11-07,23.02,23.315,22.94,23.15,804100
2024-11-06,23.23,23.53,22.405,22.99,1344300
2024-11-05,22.23,22.73,22.215,22.73,1273300
2024-11-04,22.17,22.72,22.15,22.36,1285800
2024-11-01,22.61,22.61,21.895,21.99,902800
2024-10-31,22.45,22.73,22.135,22.24,752400
2024-10-30,22.0,22.89,22.0,22.59,867800
2024-10-29,22.04,22.29,22.04,22.13,567600
2024-10-28,22.0,22.23,21.92,22.16,663900
2024-10-25,22.2,22.2,21.79,21.81,566300
2024-10-24,21.95,22.195,21.95,22.08,859900
2024-10-23,21.81,22.05,21.81,21.95,532500
2024-10-22,21.79,22.08,21.79,21.93,349800
2024-10-21,22.22,22.27,21.73,21.91,500800
2024-10-18,22.05,22.305,22.0,22.26,342500
2024-10-17,22.0,22.1,21.88,22.0,419500
2024-10-16,22.0,22.18,21.965,22.08,493600
2024-10-15,21.43,22.29,21.43,21.9,1180400
2024-10-14,21.17,21.45,21.12,21.38,480500
2024-10-11,21.14,21.32,21.07,21.24,610700
2024-10-10,21.29,21.47,20.965,21.07,836800
2024-10-09,21.35,21.48,21.25,21.41,971300
2024-10-08,21.03,21.32,20.91,21.3,1085400
2024-10-07,20.93,20.995,20.75,20.94,690900
2024-10-04,21.04,21.07,20.74,21.06,605200
2024-10-03,21.03,21.1,20.89,21.0,406800
2024-10-02,21.08,21.215,20.92,21.1,562300
2024-10-01,21.34,21.5,21.15,21.24,532300
2024-09-30,20.98,21.405,20.98,21.39,631500
2024-09-27,21.23,21.32,21.01,21.09,687200
2024-09-26,21.17,21.24,20.89,20.99,1813100
2024-09-25,21.35,21.365,21.12,21.13,794500
2024-09-24,21.28,21.445,21.215,21.34,439400
2024-09-23,21.29,21.47,21.22,21.3,732100
2024-09-20,21.14,21.33,21.12,21.17,1760700
2024-09-19,21.59,21.59,21.1,21.29,828200
2024-09-18,21.25,21.58,21.135,21.24,674600
2024-09-17,21.58,21.66,21.2,21.24,737000
2024-09-16,21.56,21.61,21.39,21.5,754200
2024-09-13,21.37,21.53,21.3,21.43,1124500
2024-09-12,20.94,21.305,20.94,21.29,671500
2024-09-11,20.5,21.07,20.4,20.92,912400
2024-09-10,20.78,21.12,20.55,20.68,610300
2024-09-09,20.51,20.705,20.28,20.6,778800
2024-09-06,20.63,20.74,20.29,20.58,1121000
2024-09-05,20.83,20.91,20.61,20.65,679700
2024-09-04,20.75,21.0,20.51,20.71,848900
2024-09-03,20.98,21.13,20.73,20.78,864500
2024-08-30,20.91,21.27,20.75,21.15,1018300
2024-08-29,20.98,20.98,20.68,20.89,500700
2024-08-28,20.89,20.99,20.77,20.85,462900
2024-08-27,20.8,20.96,20.78,20.89,455900
2024-08-26,20.82,20.96,20.665,20.89,668100
2024-08-23,20.31,20.7,20.27,20.63,459700
2024-08-22,20.16,20.25,20.13,20.24,351000
2024-08-21,20.12,20.265,19.975,20.19,592200
2024-08-20,19.84,20.12,19.76,20.02,1363800
2024-08-19,19.93,20.09,19.85,19.85,1302100
2024-08-16,20.04,20.21,19.8,19.93,1396800
2024-08-15,19.86,20.16,19.66,20.03,654700
2024-08-14,19.72,19.79,19.54,19.64,1146100
2024-08-13,19.68,19.755,19.48,19.66,942800
2024-08-12,19.77,19.84,19.44,19.53,529800
2024-08-09,19.73,19.86,19.58,19.8,585500
2024-08-08,19.7,19.9,19.65,19.73,840600
2024-08-07,19.79,19.885,19.59,19.62,631200
2024-08-06,19.45,19.905,19.35,19.71,1278800
2024-08-05,19.47,19.71,19.22,19.45,1077400
2024-08-02,19.94,20.415,19.87,20.06,1114700
2024-08-01,20.41,20.46,19.935,20.2,1170200
2024-07-31,21.17,21.28,20.28,20.3,1138500
2024-07-30,19.87,20.785,19.795,20.72,1921500
2024-07-29,19.76,19.87,19.64,19.75,606300
2024-07-26,19.62,19.835,19.42,19.74,651900
2024-07-25,19.65,19.9,19.355,19.42,1106300
2024-07-24,19.98,20.155,19.51,19.56,832500
2024-07-23,19.73,20.03,19.59,19.96,991400
2024-07-22,19.62,19.85,19.45,19.73,914800
2024-07-19,19.71,19.81,19.54,19.57,625800
2024-07-18,19.61,19.99,19.58,19.69,814100
2024-07-17,19.61,19.91,19.61,19.77,1088200
2024-07-16,19.54,19.705,19.44,19.65,1066300
2024-07-15,19.56,19.57,19.27,19.34,1419700
2024-07-12,19.16,19.5,19.05,19.37,1477700
2024-07-11,18.75,19.02,18.65,18.96,806100
2024-07-10,18.36,18.42,18.255,18.4,762900
2024-07-09,18.04,18.26,17.98,18.22,787800
2024-07-08,18.22,18.295,18.03,18.09,893700
2024-07-05,18.25,18.32,18.135,18.15,737500
2024-07-03,18.45,18.53,18.225,18.28,421800
2024-07-02,18.27,18.43,18.16,18.41,1010300
2024-07-01,18.39,18.43,17.95,18.2,1428800
2024-06-28,18.37,18.525,18.2,18.47,3247700
2024-06-27,18.08,18.265,18.03,18.22,674200
2024-06-26,17.94,18.055,17.94,18.02,817200
2024-06-25,18.31,18.37,17.94,18.07,1043300
2024-06-24,18.12,18.37,17.95,18.32,1250300
2024-06-21,18.09,18.21,17.99,18.07,2126500
2024-06-20,17.9,18.155,17.9,18.09,587700
2024-06-18,17.99,18.07,17.91,18.04,945100
2024-06-17,17.8,18.01,17.8,17.95,1123200
2024-06-14,17.7,18.05,17.65,17.93,1890700
2024-06-13,17.71,18.06,17.625,18.0,1631300
2024-06-12,17.63,18.11,17.63,17.74,1414000
2024-06-11,17.2,17.32,17.185,17.2,634600
2024-06-10,17.42,17.52,17.18,17.36,732000
2024-06-07,17.65,17.725,17.55,17.6,570100
2024-06-06,17.69,17.89,17.645,17.8,386800
2024-06-05,17.93,17.93,17.72,17.73,412800
2024-06-04,17.94,17.975,17.78,17.86,672000
2024-06-03,17.92,18.075,17.805,18.0,1297000
2024-05-31,17.24,17.74,17.24,17.73,1173300
2024-05-30,17.02,17.21,17.02,17.19,428300
2024-05-29,16.84,16.935,16.77,16.91,534100
2024-05-28,17.06,17.16,16.97,16.99,987100
2024-05-24,17.18,17.22,16.935,16.96,416700
2024-05-23,17.24,17.24,16.99,17.06,554900
2024-05-22,17.22,17.435,17.21,17.27,580700
2024-05-21,17.24,17.37,17.22,17.3,385100
2024-05-20,17.53,17.61,17.205,17.26,750000
2024-05-17,17.47,17.61,17.33,17.57,458000
2024-05-16,17.41,17.45,17.29,17.41,451700
2024-05-15,17.58,17.65,17.41,17.43,689000
2024-05-14,17.47,17.53,17.2,17.37,1107700
2024-05-13,17.28,17.315,17.155,17.3,870400
2024-05-10,17.13,17.2,17.09,17.16,888700
2024-05-09,17.1,17.22,16.98,17.16,959500
2024-05-08,17.08,17.17,16.985,17.05,917100
2024-05-07,17.1,17.825,17.09,17.29,2069800
2024-05-06,17.13,17.17,16.94,17.08,456700
2024-05-03,17.39,17.49,16.86,17.0,632900
2024-05-02,17.2,17.395,17.085,17.14,1423400
2024-05-01,16.72,17.225,16.685,17.0,1589800
2024-04-30,16.58,16.825,16.57,16.73,605500
2024-04-29,16.63,16.755,16.62,16.67,485200
2024-04-26,16.59,16.78,16.51,16.51,426900
2024-04-25,16.6,16.68,16.5,16.58,588200
2024-04-24,16.7,16.805,16.62,16.72,872400
2024-04-23,16.55,16.885,16.52,16.82,603300
2024-04-22,16.37,16.54,16.33,16.54,1441600
2024-04-19,16.22,16.615,16.19,16.37,1404800
2024-04-18,16.08,16.23,15.9,16.2,684800
2024-04-17,16.04,16.2,15.965,16.01,607000
2024-04-16,16.07,16.11,15.805,15.97,679900
2024-04-15,16.37,16.41,16.03,16.21,1258500
2024-04-12,16.07,16.29,16.07,16.28,669600
2024-04-11,16.01,16.29,15.92,16.14,1245000
2024-04-10,16.49,16.49,15.845,15.93,1405400
2024-04-09,16.75,16.81,16.605,16.81,603800
2024-04-08,16.71,16.82,16.68,16.74,683200
2024-04-05,16.59,16.68,16.46,16.63,369000
2024-04-04,16.84,16.905,16.51,16.6,542700
2024-04-03,16.52,16.705,16.49,16.68,628400
2024-04-02,16.81,16.83,16.54,16.58,982400
